Id;Name
1,Xbox One
3,iOS
4,PC
5,macOS
6,Linux
7,Nintendo Switch
8,Nintendo 3DS
9,Nintendo DS
10,Wii U
11,Wii
12,Neo Geo
13,Nintendo DSi
14,Xbox 360
15,Playstation 2
16,Playstation 3
17,PSP
18,Playstation 4
19,PS Vita
21,Android
22,Atari Flashback
23,Atari 2600
24,Game Boy Advance
25,Atari 8-bit
26,Game Boy
27,Playstation
28,Atari 7800
31,Atari 5200
34,Atari ST
41,Apple II
43,Game Boy Color
46,Atari Lynx
49,NES
50,Atari XEGS
55,Classic Macintosh
74,SEGA Master System
77,Game Gear
79,SNES
80,Xbox
83,Nintendo 64
105,GameCube
106,Dreamcast
107,SEGA Saturn
111,3DO
112,Jaguar
117,SEGA 32X
119,SEGA CD
166,Commodore/Amiga
167,Genesis
171,Web
186,Xbox Series S/X
187,Playstation 5